314  318   23.03.2023

Muons 0-5 in the iron absorber.


     x               y             z         cos(teta_x)   cos(teta_y)   cos(teta_z)

0
 5.786640e+00  2.173446e+00  1.770000e+03  4.694741e-03  2.594039e-03  9.999856e-01
 5.932276e+00  2.231511e+00  1.800000e+03  5.120830e-03  1.890907e-03  9.999851e-01
 6.083884e+00  2.303044e+00  1.830000e+03  5.119089e-03  2.548330e-03  9.999837e-01
 6.241767e+00  2.372438e+00  1.860000e+03  5.409683e-03  2.310111e-03  9.999827e-01
 6.399548e+00  2.440480e+00  1.890000e+03  5.213593e-03  2.107937e-03  9.999842e-01
 6.556451e+00  2.501920e+00  1.920000e+03  5.031074e-03  1.858131e-03  9.999856e-01
 6.703652e+00  2.573589e+00  1.950000e+03  4.783023e-03  2.525034e-03  9.999854e-01
 6.852071e+00  2.655162e+00  1.980000e+03  5.209424e-03  2.680788e-03  9.999828e-01
 6.999890e+00  2.736759e+00  2.010000e+03  4.694512e-03  2.737291e-03  9.999852e-01
 7.129826e+00  2.813105e+00  2.040000e+03  4.061611e-03  2.345369e-03  9.999890e-01
 7.252199e+00  2.894283e+00  2.070000e+03  4.113995e-03  2.837673e-03  9.999875e-01
